ID rate coverage ON_dnds ON_lowci ON_highci ON_muts OFF_dnds OFF_lowci OFF_highci OFF_muts Pval ON_na ON_NA ON_ns ON_NS OFF_na OFF_NA OFF_ns OFF_NS 	 
019_BAR ssb192 ExonicOnly 0.32245414329617 0.127267045868045 0.81700717226306 18 1.04865154966185 0.870400248185935 1.26340792636784 553 1e-04 8 217689 10 87743.4 400 6566790 153 2634000 	 
019_BAR ssb7 ExonicOnly 0.359933183734667 0.142059334998554 0.911967458019756 18 1.06192519729062 0.881417823395388 1.2793996467314 553 1e-04 8 198754 10 89422.7 400 6253730 153 2540180 	 
062_DM ssb192 ExonicOnly 0.924584750941778 0.169346969559014 5.04801493257781 6 1.37476690262652 1.06243542152856 1.77891732119423 318 0.468755462795612 4 219266 2 101365 242 6746390 76 2912720 	 
062_DM ssb7 ExonicOnly 0.973829904699988 0.178366901446927 5.31687767147591 6 1.36199334088995 1.05256428272282 1.76238800513884 318 0.687563298759593 4 193809 2 94368.5 242 6159350 76 2634560 	 
065_DM ssb192 ExonicOnly Inf NaN Inf 3 0.915188024858383 0.59291814602321 1.41262244089465 103 1e-04 3 296123 0 105649 75 9019780 28 3081790 	 
065_DM ssb7 ExonicOnly Inf NaN Inf 3 1.0120662926763 0.655682582379939 1.56215634945606 103 1e-04 3 203322 0 84855.3 75 6382390 28 2411510 	 
083_GR ssb192 ExonicOnly 0.625862595985513 0.198640887723375 1.97194284310624 12 1.00114636243306 0.82052512907483 1.22152804048163 465 0.051387418038034 7 215918 5 96525 327 6617150 138 2795760 	 
083_GR ssb7 ExonicOnly 0.681111821811392 0.216176466811913 2.14601696522449 12 1.01761173639889 0.83402017827502 1.24161755349795 465 0.130488285508971 7 193862 5 94315.5 327 6151950 138 2641960 	 
088_GG ssb192 ExonicOnly Inf NaN Inf 4 1.08932663884934 0.661096602178923 1.79494657365953 87 1e-04 4 287958 0 102620 67 8876960 20 2886540 	 
088_GG ssb7 ExonicOnly Inf NaN Inf 4 1.14729334051852 0.696276155622405 1.89046080374604 87 1e-04 4 206842 0 81335 67 6550510 20 2243390 	 
096_LA ssb192 ExonicOnly 1.10008067563793 0.561397601184779 2.155676776922 41 0.833329026715 0.749250051293164 0.926843526548213 1509 1e-04 29 202870 12 92347.6 993 6205520 516 2687170 	 
096_LA ssb7 ExonicOnly 1.14637208655865 0.58502132097361 2.24638626715486 41 0.824438243788901 0.741256421631773 0.916954906013712 1509 1e-04 29 195459 12 92718.1 993 6156430 516 2637470 	 
108_MC ssb192 ExonicOnly 0.792236278540771 0.189330919854741 3.31506641749556 8 1.03579721118163 0.806336635789245 1.33055627225088 294 0.92862348869575 5 221569 3 105321 207 6861910 87 2987230 	 
108_MC ssb7 ExonicOnly 0.85205219640953 0.203626206426659 3.56535751435208 8 1.05854112569491 0.82404242763013 1.35977194455837 294 0.874887671701212 5 190690 3 97486.7 207 6086190 87 2707710 	 
124_PA ssb192 ExonicOnly Inf NaN Inf 5 0.95284864627751 0.720636659965712 1.25988721789207 236 1e-04 5 238853 0 97572.7 166 7229800 70 2904960 	 
124_PA ssb7 ExonicOnly Inf NaN Inf 5 0.991643254204394 0.749977251158382 1.31118215038917 236 1e-04 5 196486 0 91690.8 166 6200910 70 2592990 	 
127_PM ssb192 ExonicOnly Inf NaN Inf 1 1.0831642005219 0.298094996598084 3.93580884695424 13 1e-04 1 663868 0 231326 10 20348900 3 6612360 	 
171_VL ssb192 ExonicOnly 1.72474962949656 0.366258135891028 8.12213092350775 10 0.752773619833395 0.601594428623733 0.941944166738546 335 1e-04 8 222670 2 96012.5 217 6812000 118 2788440 	 
171_VL ssb7 ExonicOnly 1.89362019776467 0.402118812320821 8.9173600697681 10 0.768065184693279 0.613815221374002 0.961078143056983 335 1e-04 8 195586 2 92591.4 217 6203120 118 2590780 	 
